"key","en","ru","es","pt","zh","fr","de","id","it","ja","tr"
"howToPlay","How To Play","Как Играть","Cómo jugar","Como jogar","如何游玩","Comment jouer","Spielanleitung","Cara Bermain","Come si gioca","遊び方","Nasıl Oynanır"
"next","Next","Следующий","Siguiente","Próximo","下一个","Suivant","Weiter","Berikutnya","Avanti","次へ","İleri"
"done","Done","Сделанный","Hecho","Pronto","完成","Effectué","Fertig","Selesai","Fatto","終了","Bitti!"
"firstTutor","The goal is to move call cards to the foundation. Stacking them by suit from Aces to King. For example, A, 2, 3, and so on.","Цель игры состоит в том, чтобы переместить карты в базовые стопки, раскладывая их по мастям в порядке от туза до короля. Например, A, 2, 3 и так далее.","El objetivo es mover las cartas de igualar a la base. Apilándolas por palo desde Ases hasta Rey. Por ejemplo: A, 2, 3, etc.","O objetivo é mover as cartas de chamada para a base, empilhando-as por naipe, do ás ao rei. Por exemplo, A, 2, 3, e assim por diante.","游戏目标是将扑克牌移至基座。 按照花色进行分组， 以从 A 到 K 的顺序堆叠起来。 例如，A、2、3，以此类推。","L’objectif est de déplacer les cartes d’appel vers la base. En les empilant par couleur, de l'As (A) au Roi (K). Par exemple, A, 2, 3, etc.","Ziel ist es, alle Spielkarten auf das Fundament zu legen. Die Karten werden nach Farben gestapelt, von Ass bis König. Zum Beispiel A, 2, 3 und so weiter.","Sasarannya adalah untuk memindahkan kartu panggilan ke fondasi. Tumpuk yang sesuai dari As sampai Raja. Misalnya, A, 2, 3, dan seterusnya.","L'obiettivo è spostare le carte estratte alle pile. Ordinandole per seme, dall'asso al re. Ad esempio, A, 2, 3 e così via.","このゲームの目標は、 すべてのカードを土台に移動させることです。 A（エース）からK（キング）までをスートごとに重ねていきます。 A、2、3...という要領です。","Hedef, çağrı kartlarını temele taşımaktır. Kartlar Astan Papaza, takıma göre dizilmelidir. Örneğin A, 2, 3, ... şeklinde devam etmelidir."
"secondTutor","Cards can be moved from column to column. In each column, the cards are arranged in order from largest to smallest. Alternating red and black.","Карты можно перемещать из столбца в столбец. В каждом столбце карты должны располагаться в порядке убывания с чередованием красных и черных мастей.","Las cartas se pueden mover de una columna a otra. Las cartas están ordenadas de mayor a menor en todas las columnas. Alternando rojas y negras.","As cartas podem ser movidas de coluna para coluna. Em cada coluna, as cartas estão dispostas por ordem, da maior para a mais pequena, alternando entre vermelhas e pretas.","扑克牌可以在各纵列之间进行移动。 在各纵列中， 扑克牌按从大到小的顺序排列。 红色和黑色的扑克牌会交替排列。","Les cartes peuvent être déplacées de colonne en colonne. Dans chaque colonne, les cartes sont classées de la plus grande à la plus petite. En alternant le rouge et le noir.","Die Karten können von Spalte zu Spalte bewegt werden. In jeder Spalte werden die Karten nach Größe sortiert. Abwechselnd rot und schwarz.","Kartu dapat dipindahkan dari satu kolom ke kolom lainnya. Di setiap kolom, kartu disusun secara berurutan dari yang terbesar hingga terkecil. Bergantian warna merah dan hitam.","Le carte possono essere spostate da una colonna all'altra. In ogni colonna le carte sono disposte in ordine dalla più grande alla più piccola. Alternando rosso e nero.","カードは列から列へと移動させることができます。 それぞれの列では、 カードは大きい数から小さい数へと順番に並びます。 赤と黒を交互に並べます。","Kartlar bir sütundan diğerine taşınabilir. Her sütunda kartlar en büyükten en küçüğe doğru sıralanır. Dönüşümlü olarak bir kırmızı, bir siyah kart dizilmelidir."
"thirdTutor","In the upper-left corner are four free cells. Where you can temporarily store any single cards during play. You need empty FreeCells to move large stacks of cards.","В левом верхнем углу находятся четыре свободные ячейки. Во время игры туда можно временно откладывать одиночные карты. Для перемещения больших стопок карт требуются свободные пустые ячейки.","En la esquina superior izquierda hay cuatro celdas libres. Ahí puedes almacenar temporalmente cualquier carta individual durante el juego. Necesitas FreeCells vacías para mover pilas de cartas grandes.","No canto superior esquerdo tem quatro células livres, onde pode guardar temporariamente quaisquer cartas individuais durante o jogo. Precisa de células livres vazias para mover pilhas grandes de cartas.","左上角有四个闲置单元格。 您可以在游戏过程中将单张扑克牌暂时放置在此。 您需要未被占用的闲置单元格来移动大堆的扑克牌。","Dans le coin supérieur gauche se trouvent quatre cases libres. Où vous pouvez stocker temporairement n'importe quelle carte pendant le jeu. Pour déplacer de grandes piles de cartes, vous avez besoin de cases vides.","In der oberen linken Ecke befinden sich vier freie Zellen. Hier kannst du während des Spiels vorübergehend einzelne Karten ablegen. Du benötigst leere Freizellen, um große Kartenstapel zu bewegen.","Di sudut kiri atas ada empat slot kosong. Di mana Anda dapat menyimpan sementara satu kartu selama bermain. Anda membutuhkan FreeCells kosong untuk memindahkan tumpukan kartu yang besar.","Nell'angolo in alto a sinistra ci sono quattro celle libere. Dove puoi riporre temporaneamente le singole carte durante il gioco. Hai bisogno di celle libere vuote per spostare grandi pile di carte.","左上の隅には4つのフリーセルがあります。 それは、プレイ中にカードを一時的に置くことができる場所です。 数枚のカードを移動させるには、空のフリーセルが必要になります。","Sol üst köşede dört boş hücre bulunur. Oyun sırasında tek kalan herhangi bir kartı buraya geçici olarak depolayabilirsin. Büyük kart yığınlarını taşımak için boş FreeCell'lere ihtiyacın vardır."
"fourthTutor","The sorting order on each foundation in the upper right corner is arranged according to: ""A-2-3-...-Q-K""","Порядок сортировки в базовых стопках в правом верхнем углу выглядит следующим образом: ""A-2-3-...-Q-K""","El orden de clasificación de cada base en la esquina superior derecha está organizado de acuerdo con: ""A-2-3-...-Q-K""","A ordem de classificação em cada base no canto superior direito está organizada pela seguinte ordem: ""A-2-3-...-Q-K""","右上角各基座的排列顺序为“A-2-3-……-Q-K”","L'ordre de tri sur chaque base dans le coin supérieur droit est organisé selon : « A-2-3-...-Q-K »","Die Sortierreihenfolge auf jedem Fundament in der oberen rechten Ecke ist wie folgt: „A-2-3-...-Q-K“","Urutan pengurutan pada setiap fondasi di sudut kanan atas diatur menurut: ""A-2-3-...-Q-K""","L'ordinamento di ciascuna pila nell'angolo in alto a destra è strutturato come segue: ""A-2-3-...-Q-K""","右上隅の土台に重ねる順番は、 「A、2、3...Q、K」という順番になります。","Sağ üst köşede her temeldeki sıralama düzeni şu şekilde düzenlenir: ""A-2-3- ...-Q-K"""
"settings","Settings","Настройки","Configuración","Definições","设置","Paramètres","Einstellungen","Pengaturan","Impostazioni","設定","Ayarlar"
"inviteFriends","Invite Friends","Пригласить Друзей","Invita a amigos","Convidar amigos","邀请好友","Inviter des amis","Freunde einladen","Undang Teman","Invita gli amici","フレンドを招待","Arkadaşlarını Davet Et"
"soundEffects","Sound Effects","Звук","Efectos de sonido","Efeitos de som","声效","Effets sonores","Toneffekte","Efek Suara","Effetti sonori","効果音","Ses Efektleri"
